Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;1;0;106;2;0;15.79
30/01/2026 - 23:00:00;ora;1;23;274;1;1;16.1
30/01/2026 - 22:00:00;ora;3;14;317;1;3;14.13
30/01/2026 - 21:00:00;ora;1;9;260;0;2;14.72
30/01/2026 - 20:00:00;ora;1;10;253;2;1;13.4
30/01/2026 - 19:00:00;ora;5;7;280;4;2;11.61
30/01/2026 - 18:00:00;ora;5;15;314;4;2;10.63
30/01/2026 - 17:00:00;ora;23;28;337;21;2;11.27
30/01/2026 - 16:00:00;ora;51;42;376;13;5;12.13
30/01/2026 - 15:00:00;ora;14;40;334;8;4;13.25
30/01/2026 - 14:00:00;ora;8;48;241;8;4;15.17
30/01/2026 - 13:00:00;ora;29;86;286;7;6;15.36
30/01/2026 - 12:00:00;ora;31;65;258;21;2;11.85
30/01/2026 - 11:00:00;ora;28;43;261;24;4;11.55
30/01/2026 - 10:00:00;ora;20;46;237;12;4;12.31
30/01/2026 - 09:00:00;ora;23;44;239;17;3;13.41
30/01/2026 - 08:00:00;ora;40;43;292;12;8;14.2
30/01/2026 - 07:00:00;ora;20;36;312;5;4;14.78
30/01/2026 - 06:00:00;ora;2;3;139;3;3;13.41
30/01/2026 - 05:00:00;ora;1;1;55;3;1;14.9
30/01/2026 - 04:00:00;ora;0;0;16;9;0;15.64
30/01/2026 - 03:00:00;ora;0;0;18;0;0;18.61
30/01/2026 - 02:00:00;ora;0;0;29;4;0;20.12
30/01/2026 - 01:00:00;ora;0;2;90;7;0;18.17
30/01/2026 - 00:00:00;ora;0;0;180;3;0;16.51
29/01/2026 - 23:00:00;ora;0;2;228;3;0;15.47
29/01/2026 - 22:00:00;ora;0;4;214;1;0;16.33
29/01/2026 - 21:00:00;ora;1;2;255;1;1;14.33
29/01/2026 - 20:00:00;ora;0;1;238;2;4;13.33
29/01/2026 - 19:00:00;ora;0;1;226;2;1;12.69
29/01/2026 - 18:00:00;ora;0;5;282;0;2;12.9
29/01/2026 - 17:00:00;ora;11;16;369;5;3;12.35
29/01/2026 - 16:00:00;ora;54;26;373;3;2;13.63
29/01/2026 - 15:00:00;ora;11;18;355;7;6;13.9
29/01/2026 - 14:00:00;ora;11;34;225;5;3;15.46
29/01/2026 - 13:00:00;ora;21;55;301;9;1;16.45
29/01/2026 - 12:00:00;ora;13;51;269;12;5;12.4
29/01/2026 - 11:00:00;ora;16;29;248;9;2;13.56
29/01/2026 - 10:00:00;ora;37;15;263;16;5;12.12
29/01/2026 - 09:00:00;ora;13;7;284;9;8;12.6
29/01/2026 - 08:00:00;ora;8;8;304;8;2;14.4
29/01/2026 - 07:00:00;ora;9;6;349;4;5;14.84
29/01/2026 - 06:00:00;ora;0;0;116;7;2;14.31
29/01/2026 - 05:00:00;ora;0;0;50;1;2;15.06
29/01/2026 - 04:00:00;ora;0;0;17;2;0;18.58
29/01/2026 - 03:00:00;ora;0;0;14;0;0;20.21
29/01/2026 - 02:00:00;ora;0;0;30;1;0;17.68
29/01/2026 - 01:00:00;ora;0;0;50;6;0;18.18
29/01/2026 - 00:00:00;ora;2;7;134;3;0;16.94
28/01/2026 - 23:00:00;ora;0;8;187;0;0;16.77
28/01/2026 - 22:00:00;ora;2;9;153;1;0;16.5
28/01/2026 - 21:00:00;ora;1;9;161;0;1;16.62
28/01/2026 - 20:00:00;ora;2;21;211;1;2;14.33
28/01/2026 - 19:00:00;ora;2;24;240;1;3;13.09
28/01/2026 - 18:00:00;ora;8;27;308;0;4;12.01
28/01/2026 - 17:00:00;ora;12;40;367;2;2;12.28
28/01/2026 - 16:00:00;ora;25;57;329;4;2;13.61
28/01/2026 - 15:00:00;ora;16;41;319;1;2;15.31
28/01/2026 - 14:00:00;ora;14;11;245;8;3;16.12
28/01/2026 - 13:00:00;ora;19;20;311;7;1;14.15
28/01/2026 - 12:00:00;ora;7;3;239;11;6;13.51
28/01/2026 - 11:00:00;ora;6;1;221;12;3;12.41
28/01/2026 - 10:00:00;ora;1;0;60;1;0;12.68
28/01/2026 - 09:00:00;ora;5;2;200;9;8;13.4
27/01/2026 - 19:00:00;ora;0;3;12;0;0;14.27
27/01/2026 - 18:00:00;ora;14;57;287;0;5;11.39
27/01/2026 - 17:00:00;ora;36;75;351;0;1;13
27/01/2026 - 16:00:00;ora;53;109;276;3;3;14.26
27/01/2026 - 15:00:00;ora;69;66;307;19;5;14.7
27/01/2026 - 14:00:00;ora;78;15;241;12;7;15.84
27/01/2026 - 13:00:00;ora;69;63;286;8;6;15.77
27/01/2026 - 12:00:00;ora;85;35;240;15;4;13.09
