Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;1;7;39;0;0;18.26
30/01/2026 - 23:00:00;ora;0;33;155;0;0;21.18
30/01/2026 - 22:00:00;ora;2;35;162;0;0;20.54
30/01/2026 - 21:00:00;ora;2;27;102;0;0;22.21
30/01/2026 - 20:00:00;ora;1;40;133;0;0;21.67
30/01/2026 - 19:00:00;ora;2;22;144;0;0;19.67
30/01/2026 - 18:00:00;ora;6;42;252;0;1;20.49
30/01/2026 - 17:00:00;ora;3;47;324;2;0;20.22
30/01/2026 - 16:00:00;ora;2;17;260;2;0;21.53
30/01/2026 - 15:00:00;ora;0;14;240;2;1;21.65
30/01/2026 - 14:00:00;ora;2;19;203;1;2;23.32
30/01/2026 - 13:00:00;ora;4;21;238;3;2;24.69
30/01/2026 - 12:00:00;ora;10;34;267;5;4;22.29
30/01/2026 - 11:00:00;ora;7;18;292;12;2;19.87
30/01/2026 - 10:00:00;ora;9;13;244;4;3;21.75
30/01/2026 - 09:00:00;ora;7;17;273;7;2;22.39
30/01/2026 - 08:00:00;ora;4;12;280;15;2;23.34
30/01/2026 - 07:00:00;ora;2;4;168;1;1;23.57
30/01/2026 - 06:00:00;ora;0;21;47;1;0;25.43
30/01/2026 - 05:00:00;ora;0;19;24;0;0;25.44
30/01/2026 - 04:00:00;ora;0;7;12;0;0;29.42
30/01/2026 - 03:00:00;ora;0;4;3;0;0;27
30/01/2026 - 02:00:00;ora;0;6;15;0;0;24
30/01/2026 - 01:00:00;ora;0;9;27;1;1;26.58
30/01/2026 - 00:00:00;ora;0;14;75;0;0;23.97
29/01/2026 - 23:00:00;ora;1;16;97;0;0;23.31
29/01/2026 - 22:00:00;ora;0;19;109;0;0;21.9
29/01/2026 - 21:00:00;ora;0;20;104;0;0;21.23
29/01/2026 - 20:00:00;ora;1;26;115;0;0;21.1
29/01/2026 - 19:00:00;ora;0;18;157;0;1;19.09
29/01/2026 - 18:00:00;ora;4;28;230;0;0;20.02
29/01/2026 - 17:00:00;ora;2;34;323;0;1;19.29
29/01/2026 - 16:00:00;ora;0;8;297;1;0;20.1
29/01/2026 - 15:00:00;ora;3;6;244;0;0;21.24
29/01/2026 - 14:00:00;ora;2;3;208;4;2;22.77
29/01/2026 - 13:00:00;ora;10;19;276;8;2;23.4
29/01/2026 - 12:00:00;ora;2;11;252;7;2;22.95
29/01/2026 - 11:00:00;ora;6;6;236;9;2;20.43
29/01/2026 - 10:00:00;ora;3;2;248;4;2;21.13
29/01/2026 - 09:00:00;ora;5;3;254;3;0;21.47
29/01/2026 - 08:00:00;ora;4;0;281;6;2;23.14
29/01/2026 - 07:00:00;ora;0;1;143;0;0;23.57
29/01/2026 - 06:00:00;ora;0;1;27;0;1;22.79
29/01/2026 - 05:00:00;ora;0;1;6;0;0;25
