Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;0;0;81;0;0;16.23
30/01/2026 - 23:00:00;ora;0;10;292;0;0;19.89
30/01/2026 - 22:00:00;ora;1;4;333;0;1;19.86
30/01/2026 - 21:00:00;ora;3;4;331;0;0;16.03
30/01/2026 - 20:00:00;ora;0;1;391;0;0;10.99
30/01/2026 - 19:00:00;ora;0;0;321;0;0;8.34
30/01/2026 - 18:00:00;ora;4;3;634;0;0;9.18
30/01/2026 - 17:00:00;ora;61;13;713;6;3;10.84
30/01/2026 - 16:00:00;ora;87;10;752;14;5;10.46
30/01/2026 - 15:00:00;ora;81;26;719;15;13;11.79
30/01/2026 - 14:00:00;ora;129;28;751;20;11;11.12
30/01/2026 - 13:00:00;ora;196;33;751;10;9;9.67
30/01/2026 - 12:00:00;ora;159;24;666;15;6;9.73
30/01/2026 - 11:00:00;ora;127;18;684;14;7;10.22
30/01/2026 - 10:00:00;ora;128;30;668;19;5;9.78
30/01/2026 - 09:00:00;ora;135;24;729;22;7;11.08
30/01/2026 - 08:00:00;ora;184;38;816;10;3;12.07
30/01/2026 - 07:00:00;ora;71;13;704;16;14;12.71
30/01/2026 - 06:00:00;ora;0;8;337;0;0;20.76
30/01/2026 - 05:00:00;ora;0;3;92;0;0;27.11
30/01/2026 - 04:00:00;ora;1;2;55;1;0;29.51
30/01/2026 - 03:00:00;ora;0;1;34;0;0;23.43
30/01/2026 - 02:00:00;ora;0;0;59;0;0;24.02
30/01/2026 - 01:00:00;ora;1;1;84;0;1;20.47
30/01/2026 - 00:00:00;ora;0;6;145;0;0;21.64
29/01/2026 - 23:00:00;ora;0;7;186;0;0;22.25
29/01/2026 - 22:00:00;ora;1;2;173;0;0;19.52
29/01/2026 - 21:00:00;ora;0;0;250;0;1;14.67
29/01/2026 - 20:00:00;ora;0;1;133;0;0;12.23
29/01/2026 - 19:00:00;ora;0;0;43;0;0;4.58
29/01/2026 - 18:00:00;ora;0;0;266;0;0;7.11
29/01/2026 - 17:00:00;ora;35;4;552;4;0;8
29/01/2026 - 16:00:00;ora;42;3;799;8;4;9.14
29/01/2026 - 15:00:00;ora;45;6;747;14;10;9.6
29/01/2026 - 14:00:00;ora;87;23;735;14;9;8.97
29/01/2026 - 13:00:00;ora;75;25;707;16;15;9.02
29/01/2026 - 12:00:00;ora;97;13;598;21;2;8.39
29/01/2026 - 11:00:00;ora;86;13;687;9;5;9.76
29/01/2026 - 10:00:00;ora;65;7;713;15;3;8.58
29/01/2026 - 09:00:00;ora;54;2;768;19;8;9.14
29/01/2026 - 08:00:00;ora;32;6;788;17;6;10.24
29/01/2026 - 07:00:00;ora;15;7;731;4;10;11.54
29/01/2026 - 06:00:00;ora;0;0;44;0;0;16.36
29/01/2026 - 05:00:00;ora;0;0;2;0;0;15.5
29/01/2026 - 04:00:00;ora;0;0;1;0;0;6
29/01/2026 - 03:00:00;ora;0;0;1;0;0;9
29/01/2026 - 02:00:00;ora;0;0;4;0;0;10
29/01/2026 - 01:00:00;ora;0;0;10;0;0;22.8
29/01/2026 - 00:00:00;ora;0;1;182;0;0;22.4
28/01/2026 - 23:00:00;ora;1;8;189;0;0;20.55
28/01/2026 - 22:00:00;ora;0;6;182;0;0;21.45
28/01/2026 - 21:00:00;ora;0;8;255;0;1;19.9
28/01/2026 - 20:00:00;ora;2;5;606;0;2;13.31
28/01/2026 - 19:00:00;ora;3;6;634;0;1;12.16
28/01/2026 - 18:00:00;ora;2;4;736;0;2;8.94
28/01/2026 - 17:00:00;ora;52;8;726;5;1;10.45
28/01/2026 - 16:00:00;ora;66;8;753;15;12;11.74
28/01/2026 - 15:00:00;ora;63;14;804;13;8;10.88
28/01/2026 - 14:00:00;ora;57;14;713;10;3;10.41
28/01/2026 - 13:00:00;ora;28;2;712;6;11;9.73
28/01/2026 - 12:00:00;ora;17;0;735;11;4;10.05
28/01/2026 - 11:00:00;ora;3;0;632;13;10;9.56
28/01/2026 - 10:00:00;ora;2;0;283;6;5;11.46
