Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;4;0;28;0;0;26.34
30/01/2026 - 23:00:00;ora;4;0;61;0;0;30.94
30/01/2026 - 22:00:00;ora;9;0;72;0;0;26.9
30/01/2026 - 21:00:00;ora;2;0;81;0;0;29.35
30/01/2026 - 20:00:00;ora;7;0;172;0;0;27.22
30/01/2026 - 19:00:00;ora;9;0;254;0;0;24.25
30/01/2026 - 18:00:00;ora;33;0;302;0;0;24.03
30/01/2026 - 17:00:00;ora;26;0;292;6;0;24.28
30/01/2026 - 16:00:00;ora;24;0;276;4;0;25.71
30/01/2026 - 15:00:00;ora;22;1;285;9;1;25.5
30/01/2026 - 14:00:00;ora;48;0;257;9;1;29.66
30/01/2026 - 13:00:00;ora;53;1;343;0;1;28
30/01/2026 - 12:00:00;ora;48;3;249;7;2;25.84
30/01/2026 - 11:00:00;ora;34;1;231;10;0;25.42
30/01/2026 - 10:00:00;ora;34;1;236;12;0;24.99
30/01/2026 - 09:00:00;ora;24;2;249;5;0;25.06
30/01/2026 - 08:00:00;ora;21;0;338;7;1;25.69
30/01/2026 - 07:00:00;ora;17;0;218;9;2;26.05
30/01/2026 - 06:00:00;ora;8;0;73;1;1;23.82
30/01/2026 - 05:00:00;ora;2;0;21;0;0;26.96
30/01/2026 - 04:00:00;ora;1;0;9;0;0;27.7
30/01/2026 - 03:00:00;ora;0;0;7;0;0;28.57
30/01/2026 - 02:00:00;ora;1;0;8;0;0;27
30/01/2026 - 01:00:00;ora;2;0;22;0;0;31
30/01/2026 - 00:00:00;ora;3;0;41;0;0;26.93
29/01/2026 - 23:00:00;ora;4;0;56;1;0;27.31
29/01/2026 - 22:00:00;ora;1;0;48;0;0;27.61
29/01/2026 - 21:00:00;ora;2;0;104;0;0;26.55
29/01/2026 - 20:00:00;ora;5;0;180;0;0;24.52
29/01/2026 - 19:00:00;ora;3;0;241;0;0;22.64
29/01/2026 - 18:00:00;ora;5;0;336;2;0;21.29
29/01/2026 - 17:00:00;ora;19;0;348;6;0;23.47
29/01/2026 - 16:00:00;ora;16;0;292;9;0;23.28
29/01/2026 - 15:00:00;ora;10;0;263;9;0;24.69
29/01/2026 - 14:00:00;ora;19;1;280;2;0;26.53
29/01/2026 - 13:00:00;ora;39;0;314;3;2;28.01
29/01/2026 - 12:00:00;ora;26;0;258;2;2;24.89
29/01/2026 - 11:00:00;ora;25;0;234;5;0;21.59
29/01/2026 - 10:00:00;ora;16;1;219;8;0;18.43
29/01/2026 - 09:00:00;ora;16;1;278;8;0;18.7
29/01/2026 - 08:00:00;ora;17;0;378;15;0;18.14
29/01/2026 - 07:00:00;ora;11;0;300;7;2;17.78
29/01/2026 - 06:00:00;ora;0;0;64;0;0;22.33
29/01/2026 - 05:00:00;ora;0;0;17;0;0;24.82
29/01/2026 - 04:00:00;ora;0;0;5;0;0;29.4
29/01/2026 - 03:00:00;ora;0;0;3;0;0;22.67
29/01/2026 - 02:00:00;ora;0;0;4;0;0;26
29/01/2026 - 01:00:00;ora;3;0;17;0;0;28.85
29/01/2026 - 00:00:00;ora;2;0;38;1;0;28.17
28/01/2026 - 23:00:00;ora;6;1;48;0;0;31.65
28/01/2026 - 22:00:00;ora;2;0;43;0;0;29.78
28/01/2026 - 21:00:00;ora;6;0;57;0;0;34.94
28/01/2026 - 20:00:00;ora;9;1;126;0;0;30.19
28/01/2026 - 19:00:00;ora;20;2;251;0;0;25.78
28/01/2026 - 18:00:00;ora;23;0;284;0;0;24.45
28/01/2026 - 17:00:00;ora;23;0;335;3;0;23.68
28/01/2026 - 16:00:00;ora;20;0;312;5;1;23.96
28/01/2026 - 15:00:00;ora;9;1;233;3;0;28.07
28/01/2026 - 14:00:00;ora;13;0;243;4;2;28.5
28/01/2026 - 13:00:00;ora;11;0;302;2;1;25.64
28/01/2026 - 12:00:00;ora;1;0;249;10;1;24.32
28/01/2026 - 11:00:00;ora;4;0;227;4;1;23.17
28/01/2026 - 10:00:00;ora;2;0;76;0;0;23.27
28/01/2026 - 09:00:00;ora;1;0;194;6;0;26.84
27/01/2026 - 19:00:00;ora;1;1;15;0;0;26.82
27/01/2026 - 18:00:00;ora;31;2;283;0;0;24.62
27/01/2026 - 17:00:00;ora;26;1;328;8;0;25.5
27/01/2026 - 16:00:00;ora;24;2;196;4;0;28.97
27/01/2026 - 15:00:00;ora;26;0;256;4;0;28.35
27/01/2026 - 14:00:00;ora;37;1;266;2;1;29.14
27/01/2026 - 13:00:00;ora;43;0;284;3;4;29.45
27/01/2026 - 12:00:00;ora;31;1;226;3;2;25.38
27/01/2026 - 11:00:00;ora;13;0;192;4;0;26.58
27/01/2026 - 10:00:00;ora;14;1;196;9;1;26.21
27/01/2026 - 09:00:00;ora;19;5;248;7;0;24.76
27/01/2026 - 08:00:00;ora;17;0;295;9;1;25.99
27/01/2026 - 07:00:00;ora;18;0;205;11;1;26.87
27/01/2026 - 06:00:00;ora;9;0;64;1;1;26.56
27/01/2026 - 05:00:00;ora;5;1;25;1;0;30.75
27/01/2026 - 04:00:00;ora;1;0;11;0;0;28.08
27/01/2026 - 03:00:00;ora;3;0;5;0;0;42
27/01/2026 - 02:00:00;ora;4;0;7;0;0;30.91
27/01/2026 - 01:00:00;ora;0;0;14;0;0;28.93
27/01/2026 - 00:00:00;ora;4;0;25;1;0;26.9
26/01/2026 - 23:00:00;ora;9;0;31;0;0;30.75
26/01/2026 - 22:00:00;ora;3;0;50;0;0;28.64
26/01/2026 - 21:00:00;ora;6;0;67;0;0;29.56
26/01/2026 - 20:00:00;ora;9;0;132;0;0;27.09
26/01/2026 - 19:00:00;ora;22;2;265;0;0;25.15
26/01/2026 - 18:00:00;ora;16;1;275;1;0;23.8
26/01/2026 - 17:00:00;ora;31;0;300;4;1;21.55
26/01/2026 - 16:00:00;ora;27;1;251;8;0;25.71
26/01/2026 - 15:00:00;ora;14;0;253;6;0;25.85
26/01/2026 - 14:00:00;ora;11;0;258;5;2;29.55
26/01/2026 - 13:00:00;ora;37;0;320;5;2;27.26
26/01/2026 - 12:00:00;ora;29;0;253;8;1;25.35
26/01/2026 - 11:00:00;ora;34;0;241;19;0;23.75
26/01/2026 - 10:00:00;ora;36;1;188;9;1;24.89
26/01/2026 - 09:00:00;ora;33;1;224;2;0;26.03
26/01/2026 - 08:00:00;ora;17;0;325;8;0;26.94
26/01/2026 - 07:00:00;ora;18;0;218;10;3;27.24
26/01/2026 - 06:00:00;ora;2;0;58;0;2;22.95
26/01/2026 - 05:00:00;ora;3;0;20;0;0;29.78
26/01/2026 - 04:00:00;ora;2;0;10;0;0;27.42
26/01/2026 - 03:00:00;ora;0;0;7;0;0;27.71
26/01/2026 - 02:00:00;ora;0;0;11;0;0;25.27
26/01/2026 - 01:00:00;ora;0;0;16;0;0;20.88
