Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;0;1;82;0;0;23.52
30/01/2026 - 23:00:00;ora;5;0;195;0;3;22.07
30/01/2026 - 22:00:00;ora;1;0;251;0;2;19.81
30/01/2026 - 21:00:00;ora;3;1;213;0;2;19.5
30/01/2026 - 20:00:00;ora;3;0;180;0;1;19.42
30/01/2026 - 19:00:00;ora;8;2;194;0;3;18.07
30/01/2026 - 18:00:00;ora;6;4;187;0;1;18.22
30/01/2026 - 17:00:00;ora;23;9;278;0;2;18.49
30/01/2026 - 16:00:00;ora;76;14;321;1;3;20.5
30/01/2026 - 15:00:00;ora;35;14;256;4;4;20.23
30/01/2026 - 14:00:00;ora;32;23;206;3;3;19.46
30/01/2026 - 13:00:00;ora;58;20;264;2;4;20.72
30/01/2026 - 12:00:00;ora;63;11;206;7;3;20.36
30/01/2026 - 11:00:00;ora;50;12;200;3;2;17.61
30/01/2026 - 10:00:00;ora;27;9;221;3;1;19.59
30/01/2026 - 09:00:00;ora;45;10;209;3;3;21.54
30/01/2026 - 08:00:00;ora;54;8;231;4;6;21.91
30/01/2026 - 07:00:00;ora;44;8;279;1;2;22.14
30/01/2026 - 06:00:00;ora;7;0;91;0;3;22.17
30/01/2026 - 05:00:00;ora;0;0;35;0;2;25.84
30/01/2026 - 04:00:00;ora;2;0;17;0;0;25.58
30/01/2026 - 03:00:00;ora;0;0;9;0;0;26
30/01/2026 - 02:00:00;ora;1;0;21;0;0;27.55
30/01/2026 - 01:00:00;ora;0;0;78;0;0;25.74
30/01/2026 - 00:00:00;ora;0;0;126;0;0;23.85
29/01/2026 - 23:00:00;ora;2;1;184;0;0;21.66
29/01/2026 - 22:00:00;ora;1;0;175;0;0;22.6
29/01/2026 - 21:00:00;ora;4;1;199;0;2;21.33
29/01/2026 - 20:00:00;ora;5;0;179;0;4;19.13
29/01/2026 - 19:00:00;ora;5;1;151;0;1;18.69
29/01/2026 - 18:00:00;ora;7;3;207;0;1;19.64
