Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;5;0;71;0;0;22.67
30/01/2026 - 23:00:00;ora;4;1;167;1;0;25.63
30/01/2026 - 22:00:00;ora;8;3;208;0;0;24.39
30/01/2026 - 21:00:00;ora;10;1;219;0;2;23.98
30/01/2026 - 20:00:00;ora;5;2;177;0;1;23.43
30/01/2026 - 19:00:00;ora;10;0;202;0;4;22.52
30/01/2026 - 18:00:00;ora;7;1;207;0;1;22.48
30/01/2026 - 17:00:00;ora;41;8;356;0;1;18.09
30/01/2026 - 16:00:00;ora;51;52;244;0;3;21.44
30/01/2026 - 15:00:00;ora;43;25;214;3;2;22.34
30/01/2026 - 14:00:00;ora;36;8;174;1;3;23.33
30/01/2026 - 13:00:00;ora;88;15;302;0;5;22.89
30/01/2026 - 12:00:00;ora;76;15;244;5;3;22.25
30/01/2026 - 11:00:00;ora;41;11;196;1;6;20.53
30/01/2026 - 10:00:00;ora;32;4;183;2;2;21.28
30/01/2026 - 09:00:00;ora;38;10;151;2;2;22.51
30/01/2026 - 08:00:00;ora;31;5;163;4;4;22.66
30/01/2026 - 07:00:00;ora;17;3;160;1;2;21.06
30/01/2026 - 06:00:00;ora;39;1;100;1;2;17.35
30/01/2026 - 05:00:00;ora;4;0;50;0;3;26.98
30/01/2026 - 04:00:00;ora;0;0;17;1;1;27.16
30/01/2026 - 03:00:00;ora;10;0;10;0;0;16.8
30/01/2026 - 02:00:00;ora;2;0;11;0;0;27.08
30/01/2026 - 01:00:00;ora;0;0;61;1;0;29.45
30/01/2026 - 00:00:00;ora;4;0;91;0;0;28.53
29/01/2026 - 23:00:00;ora;2;1;139;1;0;28.27
29/01/2026 - 22:00:00;ora;1;1;171;0;0;26.67
29/01/2026 - 21:00:00;ora;6;3;196;0;2;23.44
29/01/2026 - 20:00:00;ora;5;1;159;0;3;26.08
29/01/2026 - 19:00:00;ora;4;0;158;0;1;26.96
29/01/2026 - 18:00:00;ora;1;0;225;1;1;26.09
29/01/2026 - 17:00:00;ora;44;11;278;0;2;22.72
29/01/2026 - 16:00:00;ora;61;24;266;1;3;23.32
29/01/2026 - 15:00:00;ora;35;9;209;1;2;21.43
29/01/2026 - 14:00:00;ora;21;3;155;1;4;22.68
29/01/2026 - 13:00:00;ora;81;10;310;3;2;21.36
29/01/2026 - 12:00:00;ora;51;11;222;3;2;20.53
29/01/2026 - 11:00:00;ora;21;3;192;6;2;20.83
29/01/2026 - 10:00:00;ora;10;6;162;3;2;22.42
29/01/2026 - 09:00:00;ora;9;5;107;0;2;21.11
29/01/2026 - 08:00:00;ora;5;3;161;3;3;21.82
29/01/2026 - 07:00:00;ora;3;0;141;0;4;21.78
29/01/2026 - 06:00:00;ora;6;0;111;1;2;20.27
29/01/2026 - 05:00:00;ora;4;0;30;1;5;18.6
29/01/2026 - 04:00:00;ora;0;0;11;0;0;24.09
29/01/2026 - 03:00:00;ora;3;0;8;0;0;22.82
29/01/2026 - 02:00:00;ora;0;0;12;0;1;22.54
29/01/2026 - 01:00:00;ora;0;0;30;1;0;27.87
29/01/2026 - 00:00:00;ora;2;4;81;1;0;31.11
28/01/2026 - 23:00:00;ora;4;5;107;0;0;30.45
28/01/2026 - 22:00:00;ora;10;3;122;0;0;28.27
28/01/2026 - 21:00:00;ora;16;2;136;0;0;24.48
28/01/2026 - 20:00:00;ora;8;6;173;0;1;26.75
28/01/2026 - 19:00:00;ora;7;6;201;0;3;28.6
28/01/2026 - 18:00:00;ora;15;6;252;0;2;24.5
28/01/2026 - 17:00:00;ora;37;10;298;0;2;25.76
28/01/2026 - 16:00:00;ora;59;22;235;0;2;22.81
28/01/2026 - 15:00:00;ora;47;10;193;1;1;22.86
28/01/2026 - 14:00:00;ora;13;3;147;0;5;23.12
28/01/2026 - 13:00:00;ora;25;12;408;1;1;18.84
28/01/2026 - 12:00:00;ora;16;3;201;2;2;20.06
28/01/2026 - 11:00:00;ora;5;3;173;2;2;19.98
28/01/2026 - 10:00:00;ora;2;0;55;0;0;18.93
28/01/2026 - 09:00:00;ora;3;1;115;3;2;21.9
27/01/2026 - 19:00:00;ora;0;0;15;0;1;23
27/01/2026 - 18:00:00;ora;18;21;233;0;1;26.62
27/01/2026 - 17:00:00;ora;72;29;272;0;2;27.03
27/01/2026 - 16:00:00;ora;84;40;180;4;2;26
27/01/2026 - 15:00:00;ora;94;19;208;4;2;24.35
27/01/2026 - 14:00:00;ora;62;3;175;2;6;24.52
27/01/2026 - 13:00:00;ora;124;38;311;0;4;24.03
27/01/2026 - 12:00:00;ora;104;8;190;2;4;23.75
27/01/2026 - 11:00:00;ora;65;13;174;6;7;22.22
27/01/2026 - 10:00:00;ora;49;14;171;2;2;22.93
27/01/2026 - 09:00:00;ora;45;11;149;5;4;22.27
27/01/2026 - 08:00:00;ora;56;4;125;1;3;22.78
27/01/2026 - 07:00:00;ora;37;3;145;1;3;18.56
27/01/2026 - 06:00:00;ora;41;1;124;0;1;17.16
27/01/2026 - 05:00:00;ora;10;0;36;0;2;23.19
27/01/2026 - 04:00:00;ora;0;0;14;1;0;26.4
27/01/2026 - 03:00:00;ora;8;0;12;0;1;21.95
27/01/2026 - 02:00:00;ora;1;0;18;0;0;31.05
27/01/2026 - 01:00:00;ora;1;2;37;0;0;29.9
27/01/2026 - 00:00:00;ora;6;0;99;0;0;27.65
26/01/2026 - 23:00:00;ora;3;0;112;0;0;27.82
26/01/2026 - 22:00:00;ora;2;2;144;1;0;27.54
26/01/2026 - 21:00:00;ora;14;4;211;0;3;23.4
26/01/2026 - 20:00:00;ora;6;1;176;0;2;25.72
26/01/2026 - 19:00:00;ora;8;1;184;0;3;25.37
26/01/2026 - 18:00:00;ora;5;2;250;0;2;24.37
26/01/2026 - 17:00:00;ora;27;15;283;0;1;24.97
26/01/2026 - 16:00:00;ora;90;33;251;0;2;21.21
26/01/2026 - 15:00:00;ora;21;16;206;0;6;23.23
26/01/2026 - 14:00:00;ora;14;14;165;3;2;23.94
26/01/2026 - 13:00:00;ora;24;20;282;3;4;22.28
26/01/2026 - 12:00:00;ora;30;29;263;2;3;22.51
26/01/2026 - 11:00:00;ora;35;18;209;6;3;22.09
26/01/2026 - 10:00:00;ora;29;9;178;2;3;22.79
26/01/2026 - 09:00:00;ora;17;8;158;0;1;21.27
26/01/2026 - 08:00:00;ora;28;5;144;6;4;22.8
26/01/2026 - 07:00:00;ora;11;11;144;0;3;22.41
26/01/2026 - 06:00:00;ora;12;2;132;0;4;18.19
26/01/2026 - 05:00:00;ora;2;0;174;0;6;9.25
26/01/2026 - 04:00:00;ora;0;1;260;1;1;5.48
26/01/2026 - 03:00:00;ora;0;0;32;0;0;9.38
26/01/2026 - 02:00:00;ora;0;0;25;0;0;25.6
26/01/2026 - 01:00:00;ora;0;0;45;1;0;24.07
26/01/2026 - 00:00:00;ora;3;0;106;0;0;15.26
25/01/2026 - 23:00:00;ora;0;0;774;0;0;5.21
25/01/2026 - 22:00:00;ora;2;0;393;0;0;8.31
25/01/2026 - 21:00:00;ora;0;0;404;0;1;9.23
25/01/2026 - 20:00:00;ora;0;0;196;0;1;14.22
25/01/2026 - 19:00:00;ora;2;0;117;0;3;22.41
25/01/2026 - 18:00:00;ora;0;0;78;0;1;21.62
25/01/2026 - 17:00:00;ora;1;1;153;0;2;23.34
25/01/2026 - 16:00:00;ora;2;0;227;0;3;26.4
25/01/2026 - 15:00:00;ora;19;0;154;0;1;31.18
25/01/2026 - 14:00:00;ora;13;3;72;0;2;26.89
25/01/2026 - 13:00:00;ora;10;5;156;0;2;29.91
25/01/2026 - 12:00:00;ora;16;12;253;1;3;28.09
25/01/2026 - 11:00:00;ora;15;9;262;0;1;25.59
25/01/2026 - 10:00:00;ora;6;0;183;0;0;25.83
25/01/2026 - 09:00:00;ora;1;0;103;0;1;26.27
25/01/2026 - 08:00:00;ora;2;0;59;0;2;27.97
25/01/2026 - 07:00:00;ora;0;0;27;0;1;23.64
25/01/2026 - 06:00:00;ora;0;0;13;0;2;22.13
25/01/2026 - 05:00:00;ora;0;0;15;0;1;27.19
25/01/2026 - 04:00:00;ora;0;0;16;1;0;28.94
25/01/2026 - 03:00:00;ora;0;0;25;0;0;28.24
25/01/2026 - 02:00:00;ora;0;0;72;0;0;28.5
25/01/2026 - 01:00:00;ora;1;0;104;0;0;25.03
25/01/2026 - 00:00:00;ora;0;0;139;0;0;24.65
24/01/2026 - 23:00:00;ora;0;1;157;0;0;24.46
24/01/2026 - 22:00:00;ora;1;0;189;0;0;25.71
24/01/2026 - 21:00:00;ora;6;0;200;0;1;23.79
24/01/2026 - 20:00:00;ora;5;3;201;0;0;27.23
24/01/2026 - 19:00:00;ora;7;2;190;0;2;26.51
24/01/2026 - 18:00:00;ora;8;4;186;1;1;24.72
24/01/2026 - 17:00:00;ora;17;1;220;0;2;21.16
24/01/2026 - 16:00:00;ora;20;5;188;0;2;23.17
24/01/2026 - 15:00:00;ora;11;3;165;0;3;22.35
24/01/2026 - 14:00:00;ora;10;6;185;0;4;21.59
24/01/2026 - 13:00:00;ora;29;16;237;0;4;22.9
24/01/2026 - 12:00:00;ora;56;27;256;0;1;22.01
24/01/2026 - 11:00:00;ora;16;11;216;0;3;21.07
24/01/2026 - 10:00:00;ora;15;4;169;0;3;21.62
24/01/2026 - 09:00:00;ora;10;3;131;1;2;21.09
24/01/2026 - 08:00:00;ora;4;0;110;1;3;22.08
24/01/2026 - 07:00:00;ora;3;0;102;0;5;20.67
24/01/2026 - 06:00:00;ora;25;0;91;2;4;17.7
24/01/2026 - 05:00:00;ora;0;0;44;0;4;23.85
24/01/2026 - 04:00:00;ora;0;0;15;1;2;25.78
24/01/2026 - 03:00:00;ora;0;0;21;0;0;28.62
24/01/2026 - 02:00:00;ora;5;1;66;1;0;32.03
24/01/2026 - 01:00:00;ora;12;5;122;1;0;27.31
24/01/2026 - 00:00:00;ora;5;6;154;0;0;30.31
23/01/2026 - 23:00:00;ora;8;8;179;0;0;27.82
23/01/2026 - 22:00:00;ora;12;4;194;0;0;27.73
23/01/2026 - 21:00:00;ora;15;10;200;0;2;27.38
23/01/2026 - 20:00:00;ora;17;9;216;0;1;26.95
23/01/2026 - 19:00:00;ora;16;8;212;0;2;27.3
23/01/2026 - 18:00:00;ora;17;11;200;0;2;26.76
23/01/2026 - 17:00:00;ora;70;17;274;1;2;27.01
23/01/2026 - 16:00:00;ora;136;12;291;0;4;24.02
23/01/2026 - 15:00:00;ora;151;7;201;3;4;23.14
23/01/2026 - 14:00:00;ora;57;5;198;1;5;24.76
23/01/2026 - 13:00:00;ora;121;42;317;2;4;23.36
23/01/2026 - 12:00:00;ora;95;10;249;2;11;22.25
23/01/2026 - 11:00:00;ora;74;16;216;0;1;23.18
23/01/2026 - 10:00:00;ora;35;9;170;2;3;22.31
23/01/2026 - 09:00:00;ora;50;1;123;3;1;23.84
23/01/2026 - 08:00:00;ora;42;4;142;4;2;23.85
23/01/2026 - 07:00:00;ora;40;2;142;0;2;25.26
23/01/2026 - 06:00:00;ora;18;3;107;0;3;22.08
23/01/2026 - 05:00:00;ora;0;0;49;0;3;26.35
23/01/2026 - 04:00:00;ora;0;0;23;0;0;30.26
23/01/2026 - 03:00:00;ora;5;0;18;0;0;31.26
