Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;0;1;131;0;0;34.47
30/01/2026 - 23:00:00;ora;5;2;300;0;1;34.44
30/01/2026 - 22:00:00;ora;8;7;309;0;2;32.75
30/01/2026 - 21:00:00;ora;4;1;319;0;3;32.64
30/01/2026 - 20:00:00;ora;12;2;485;0;3;29.01
30/01/2026 - 19:00:00;ora;21;6;606;0;5;22.23
30/01/2026 - 18:00:00;ora;39;16;617;0;4;19.99
30/01/2026 - 17:00:00;ora;61;49;633;2;4;23.73
30/01/2026 - 16:00:00;ora;53;68;644;2;4;16.78
30/01/2026 - 15:00:00;ora;38;69;635;8;6;21.34
30/01/2026 - 14:00:00;ora;78;61;575;2;6;25.64
30/01/2026 - 13:00:00;ora;193;148;502;3;3;21.99
30/01/2026 - 12:00:00;ora;150;140;506;3;4;23.63
30/01/2026 - 11:00:00;ora;116;107;611;10;3;19.01
30/01/2026 - 10:00:00;ora;112;83;640;11;4;20.3
30/01/2026 - 09:00:00;ora;99;97;764;12;4;18.31
30/01/2026 - 08:00:00;ora;129;57;684;8;5;14.72
30/01/2026 - 07:00:00;ora;73;27;443;8;4;25.62
30/01/2026 - 06:00:00;ora;7;1;208;5;8;33.05
30/01/2026 - 05:00:00;ora;5;0;96;0;6;37.21
30/01/2026 - 04:00:00;ora;0;0;30;0;1;38.52
30/01/2026 - 03:00:00;ora;1;0;19;0;0;41.5
30/01/2026 - 02:00:00;ora;1;0;37;0;1;39.33
30/01/2026 - 01:00:00;ora;1;1;101;0;1;38.4
30/01/2026 - 00:00:00;ora;5;3;169;0;3;36.76
29/01/2026 - 23:00:00;ora;7;3;215;0;2;34.86
29/01/2026 - 22:00:00;ora;13;4;231;0;5;33.95
29/01/2026 - 21:00:00;ora;11;2;306;0;3;32.59
29/01/2026 - 20:00:00;ora;5;3;484;0;6;29.34
29/01/2026 - 19:00:00;ora;5;3;582;0;4;25.13
29/01/2026 - 18:00:00;ora;13;6;641;0;4;6.25
29/01/2026 - 17:00:00;ora;34;17;676;1;2;9.01
