Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;2;5;122;0;1;24.32
30/01/2026 - 23:00:00;ora;7;10;280;1;1;22.85
30/01/2026 - 22:00:00;ora;6;11;312;0;1;22.4
30/01/2026 - 21:00:00;ora;16;21;371;0;1;19.76
30/01/2026 - 20:00:00;ora;29;19;668;1;1;15.47
30/01/2026 - 19:00:00;ora;25;27;780;1;2;11.43
30/01/2026 - 18:00:00;ora;47;36;827;2;1;10.83
30/01/2026 - 17:00:00;ora;39;57;800;5;2;10.71
30/01/2026 - 16:00:00;ora;14;66;873;11;1;12.03
30/01/2026 - 15:00:00;ora;8;89;739;13;2;14.43
30/01/2026 - 14:00:00;ora;28;117;756;7;4;14.93
30/01/2026 - 13:00:00;ora;41;167;801;13;6;11.35
30/01/2026 - 12:00:00;ora;37;164;797;4;4;11.86
30/01/2026 - 11:00:00;ora;31;115;783;10;3;11.86
30/01/2026 - 10:00:00;ora;15;92;779;5;4;12.34
30/01/2026 - 09:00:00;ora;29;89;772;17;3;13.89
30/01/2026 - 08:00:00;ora;37;95;838;13;3;11.87
30/01/2026 - 07:00:00;ora;27;55;545;6;8;15.5
30/01/2026 - 06:00:00;ora;2;7;219;7;3;22.68
30/01/2026 - 05:00:00;ora;2;3;96;3;1;24.6
30/01/2026 - 04:00:00;ora;3;2;40;0;2;29.38
30/01/2026 - 03:00:00;ora;2;1;25;1;1;23.13
30/01/2026 - 02:00:00;ora;0;0;42;2;1;31.4
30/01/2026 - 01:00:00;ora;1;3;91;0;2;32.76
30/01/2026 - 00:00:00;ora;6;8;170;0;3;26.36
29/01/2026 - 23:00:00;ora;3;7;219;0;1;24.03
29/01/2026 - 22:00:00;ora;6;6;224;0;1;22.4
29/01/2026 - 21:00:00;ora;8;9;337;0;1;20.79
29/01/2026 - 20:00:00;ora;18;17;656;0;1;15.43
29/01/2026 - 19:00:00;ora;17;16;804;3;1;9.13
29/01/2026 - 18:00:00;ora;25;13;900;0;1;8.42
29/01/2026 - 17:00:00;ora;25;32;885;7;2;8.18
29/01/2026 - 16:00:00;ora;8;38;887;13;1;10.8
29/01/2026 - 15:00:00;ora;6;42;779;15;2;13.37
29/01/2026 - 14:00:00;ora;17;61;753;18;4;13.81
29/01/2026 - 13:00:00;ora;60;74;872;5;3;11.77
29/01/2026 - 12:00:00;ora;19;63;843;23;4;9.66
29/01/2026 - 11:00:00;ora;11;63;865;16;5;10.72
29/01/2026 - 10:00:00;ora;11;49;819;15;5;11.34
29/01/2026 - 09:00:00;ora;6;34;866;12;7;12.06
29/01/2026 - 08:00:00;ora;8;31;931;8;3;9.46
29/01/2026 - 07:00:00;ora;5;32;623;13;10;13.29
29/01/2026 - 06:00:00;ora;3;0;246;1;4;21.3
29/01/2026 - 05:00:00;ora;2;1;89;3;1;24.85
29/01/2026 - 04:00:00;ora;1;0;50;3;1;22
29/01/2026 - 03:00:00;ora;0;0;17;1;1;25.53
29/01/2026 - 02:00:00;ora;2;2;44;0;1;23.57
29/01/2026 - 01:00:00;ora;3;1;79;1;1;23.15
29/01/2026 - 00:00:00;ora;3;8;142;0;2;25.9
28/01/2026 - 23:00:00;ora;10;12;227;0;1;26.05
28/01/2026 - 22:00:00;ora;8;10;156;0;1;25.03
28/01/2026 - 21:00:00;ora;8;22;248;0;2;22.67
28/01/2026 - 20:00:00;ora;33;32;603;1;3;17.3
28/01/2026 - 19:00:00;ora;46;48;736;4;2;13.65
28/01/2026 - 18:00:00;ora;51;31;846;3;1;10.03
28/01/2026 - 17:00:00;ora;33;35;860;8;2;9.3
28/01/2026 - 16:00:00;ora;22;65;825;14;3;12.9
28/01/2026 - 15:00:00;ora;14;32;726;7;5;13.11
28/01/2026 - 14:00:00;ora;15;39;765;5;3;13.55
28/01/2026 - 13:00:00;ora;11;28;848;12;4;11.73
28/01/2026 - 12:00:00;ora;2;16;786;11;4;11.95
28/01/2026 - 11:00:00;ora;0;7;700;17;6;12.36
28/01/2026 - 10:00:00;ora;0;1;277;4;0;11.3
28/01/2026 - 09:00:00;ora;0;12;693;17;4;11.26
27/01/2026 - 19:00:00;ora;4;5;44;0;0;14.21
27/01/2026 - 18:00:00;ora;106;62;791;2;1;9.94
27/01/2026 - 17:00:00;ora;95;100;839;5;1;10.19
27/01/2026 - 16:00:00;ora;27;102;565;7;1;13.51
27/01/2026 - 15:00:00;ora;19;117;675;14;2;15.3
27/01/2026 - 14:00:00;ora;19;128;740;5;2;14.47
27/01/2026 - 13:00:00;ora;134;111;710;10;3;14.19
27/01/2026 - 12:00:00;ora;111;104;741;4;1;11.91
27/01/2026 - 11:00:00;ora;46;91;700;7;2;13.48
27/01/2026 - 10:00:00;ora;49;72;716;4;4;13.14
27/01/2026 - 09:00:00;ora;42;43;781;10;2;13.08
