Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;2;3;73;3;1;26.38
30/01/2026 - 23:00:00;ora;4;9;152;1;1;25.48
30/01/2026 - 22:00:00;ora;2;11;152;0;1;24.1
30/01/2026 - 21:00:00;ora;7;21;214;0;2;23.06
30/01/2026 - 20:00:00;ora;10;37;348;0;1;15.34
30/01/2026 - 19:00:00;ora;17;24;366;1;2;14.56
30/01/2026 - 18:00:00;ora;18;38;442;1;1;11.82
30/01/2026 - 17:00:00;ora;19;52;462;7;2;10.9
30/01/2026 - 16:00:00;ora;10;28;478;3;2;16.4
30/01/2026 - 15:00:00;ora;6;44;398;7;2;17.37
30/01/2026 - 14:00:00;ora;20;63;395;4;2;22.28
30/01/2026 - 13:00:00;ora;19;97;382;9;3;16
30/01/2026 - 12:00:00;ora;14;85;450;5;3;11.81
30/01/2026 - 11:00:00;ora;14;79;435;12;2;15.9
30/01/2026 - 10:00:00;ora;7;48;442;6;8;13.86
30/01/2026 - 09:00:00;ora;10;63;414;9;4;18.38
30/01/2026 - 08:00:00;ora;22;41;448;15;6;13.59
30/01/2026 - 07:00:00;ora;8;31;314;6;7;20.08
30/01/2026 - 06:00:00;ora;3;9;141;8;3;23.27
30/01/2026 - 05:00:00;ora;1;5;62;7;3;27.65
30/01/2026 - 04:00:00;ora;1;3;20;4;1;25.52
30/01/2026 - 03:00:00;ora;0;1;24;3;1;24.93
30/01/2026 - 02:00:00;ora;0;2;25;6;2;32.26
30/01/2026 - 01:00:00;ora;0;6;49;2;1;33.55
30/01/2026 - 00:00:00;ora;1;6;96;1;2;29.36
29/01/2026 - 23:00:00;ora;0;4;108;1;1;27.03
29/01/2026 - 22:00:00;ora;2;5;118;0;2;23.22
29/01/2026 - 21:00:00;ora;8;11;166;0;1;23.53
29/01/2026 - 20:00:00;ora;13;15;286;0;2;18.18
29/01/2026 - 19:00:00;ora;11;13;394;2;1;14.32
29/01/2026 - 18:00:00;ora;20;17;422;0;1;11.75
29/01/2026 - 17:00:00;ora;16;28;424;3;1;14.11
29/01/2026 - 16:00:00;ora;7;18;406;5;2;16.67
29/01/2026 - 15:00:00;ora;2;22;455;8;3;18.51
29/01/2026 - 14:00:00;ora;12;37;379;13;3;16.75
29/01/2026 - 13:00:00;ora;19;39;393;5;2;16.87
29/01/2026 - 12:00:00;ora;11;49;489;9;1;12.85
29/01/2026 - 11:00:00;ora;13;34;478;11;3;12.99
29/01/2026 - 10:00:00;ora;4;28;439;6;5;13.96
29/01/2026 - 09:00:00;ora;5;23;477;10;4;15.99
29/01/2026 - 08:00:00;ora;3;13;505;5;4;15.03
29/01/2026 - 07:00:00;ora;3;8;372;10;8;20.69
29/01/2026 - 06:00:00;ora;2;2;157;9;4;23.41
29/01/2026 - 05:00:00;ora;1;0;52;7;3;29.63
29/01/2026 - 04:00:00;ora;0;1;29;7;1;23.32
29/01/2026 - 03:00:00;ora;0;1;12;2;3;24.44
29/01/2026 - 02:00:00;ora;2;3;23;7;1;27.28
29/01/2026 - 01:00:00;ora;2;3;37;1;1;23.98
29/01/2026 - 00:00:00;ora;0;4;57;1;2;30.02
28/01/2026 - 23:00:00;ora;0;16;112;0;1;30.66
28/01/2026 - 22:00:00;ora;1;10;82;0;1;29.95
28/01/2026 - 21:00:00;ora;3;16;143;0;2;25.68
28/01/2026 - 20:00:00;ora;2;33;302;1;3;20.81
28/01/2026 - 19:00:00;ora;11;38;368;3;2;16.59
28/01/2026 - 18:00:00;ora;11;45;457;1;1;12.99
28/01/2026 - 17:00:00;ora;18;35;440;7;3;13.66
28/01/2026 - 16:00:00;ora;11;40;426;7;3;17.2
28/01/2026 - 15:00:00;ora;5;16;407;6;5;16.49
28/01/2026 - 14:00:00;ora;10;18;375;6;2;18.77
28/01/2026 - 13:00:00;ora;5;13;381;11;4;16.8
28/01/2026 - 12:00:00;ora;8;1;399;6;2;12.64
28/01/2026 - 11:00:00;ora;3;1;388;28;3;13.05
28/01/2026 - 10:00:00;ora;1;0;160;2;0;13.6
28/01/2026 - 09:00:00;ora;3;5;404;9;3;15.28
27/01/2026 - 19:00:00;ora;1;7;17;0;0;19.04
27/01/2026 - 18:00:00;ora;22;97;418;0;0;15.3
27/01/2026 - 17:00:00;ora;24;107;467;4;1;14.64
27/01/2026 - 16:00:00;ora;8;65;318;4;1;19.03
27/01/2026 - 15:00:00;ora;6;79;378;5;4;18.89
27/01/2026 - 14:00:00;ora;19;58;400;7;1;18.6
27/01/2026 - 13:00:00;ora;30;81;338;5;5;17.26
27/01/2026 - 12:00:00;ora;14;89;407;8;1;15.89
27/01/2026 - 11:00:00;ora;15;77;418;7;2;16.18
27/01/2026 - 10:00:00;ora;7;65;382;14;3;16.63
27/01/2026 - 09:00:00;ora;7;55;414;9;5;18.04
27/01/2026 - 08:00:00;ora;17;59;442;12;5;16.27
27/01/2026 - 07:00:00;ora;7;30;321;11;8;19.5
27/01/2026 - 06:00:00;ora;0;15;122;13;1;24.3
27/01/2026 - 05:00:00;ora;1;2;55;10;1;24.07
27/01/2026 - 04:00:00;ora;1;2;17;6;2;22.96
27/01/2026 - 03:00:00;ora;0;2;20;0;1;30.09
27/01/2026 - 02:00:00;ora;0;1;22;3;3;38.24
27/01/2026 - 01:00:00;ora;2;4;36;6;1;30.67
27/01/2026 - 00:00:00;ora;1;6;58;10;1;31.33
26/01/2026 - 23:00:00;ora;2;11;68;1;2;29.37
26/01/2026 - 22:00:00;ora;4;13;101;0;1;29.97
26/01/2026 - 21:00:00;ora;5;18;164;0;1;25.14
26/01/2026 - 20:00:00;ora;16;32;289;0;1;20.98
26/01/2026 - 19:00:00;ora;18;36;351;1;2;15.79
26/01/2026 - 18:00:00;ora;25;23;435;1;1;13.9
26/01/2026 - 17:00:00;ora;19;50;413;4;1;15.37
26/01/2026 - 16:00:00;ora;12;31;453;11;1;15.28
26/01/2026 - 15:00:00;ora;4;21;407;13;2;17.01
26/01/2026 - 14:00:00;ora;15;32;363;8;3;19.82
26/01/2026 - 13:00:00;ora;25;63;351;4;3;16.56
26/01/2026 - 12:00:00;ora;12;74;416;7;2;11.82
26/01/2026 - 11:00:00;ora;10;66;411;6;2;14.4
26/01/2026 - 10:00:00;ora;12;68;398;12;4;12.82
26/01/2026 - 09:00:00;ora;18;33;386;20;4;14.12
26/01/2026 - 08:00:00;ora;9;44;448;14;6;13.37
26/01/2026 - 07:00:00;ora;7;23;315;13;9;20.18
26/01/2026 - 06:00:00;ora;3;3;145;9;5;24.47
26/01/2026 - 05:00:00;ora;0;5;48;5;2;25.53
26/01/2026 - 04:00:00;ora;0;3;29;2;0;28.65
26/01/2026 - 03:00:00;ora;0;1;27;2;2;25.84
26/01/2026 - 02:00:00;ora;0;2;35;1;1;30.08
26/01/2026 - 01:00:00;ora;1;2;58;5;1;29.19
26/01/2026 - 00:00:00;ora;2;2;76;2;2;29.08
25/01/2026 - 23:00:00;ora;3;3;140;0;1;27.93
25/01/2026 - 22:00:00;ora;5;8;151;0;1;23.08
25/01/2026 - 21:00:00;ora;6;7;190;0;0;24.06
25/01/2026 - 20:00:00;ora;5;5;281;0;0;20.26
25/01/2026 - 19:00:00;ora;5;14;209;0;0;17.36
25/01/2026 - 18:00:00;ora;7;4;266;1;0;17.08
25/01/2026 - 17:00:00;ora;4;7;323;1;0;18.24
25/01/2026 - 16:00:00;ora;0;6;249;0;2;21.21
25/01/2026 - 15:00:00;ora;1;8;165;0;0;25.75
25/01/2026 - 14:00:00;ora;0;9;139;0;0;26.24
25/01/2026 - 13:00:00;ora;2;28;332;0;0;18.04
25/01/2026 - 12:00:00;ora;6;34;563;1;1;8.93
25/01/2026 - 11:00:00;ora;9;35;479;1;0;12.16
25/01/2026 - 10:00:00;ora;6;8;395;2;0;14.09
25/01/2026 - 09:00:00;ora;2;1;261;1;0;19.34
25/01/2026 - 08:00:00;ora;0;0;143;5;0;18.54
25/01/2026 - 07:00:00;ora;1;1;82;12;1;19.37
25/01/2026 - 06:00:00;ora;0;3;56;2;1;25.5
25/01/2026 - 05:00:00;ora;0;1;39;2;1;31.86
25/01/2026 - 04:00:00;ora;0;0;29;0;0;28.86
25/01/2026 - 03:00:00;ora;0;2;41;0;1;27.45
25/01/2026 - 02:00:00;ora;0;10;76;0;1;28.72
25/01/2026 - 01:00:00;ora;2;9;105;0;1;25.68
25/01/2026 - 00:00:00;ora;1;5;197;2;2;22.93
24/01/2026 - 23:00:00;ora;3;10;201;0;1;22.81
24/01/2026 - 22:00:00;ora;2;20;195;0;4;23.29
24/01/2026 - 21:00:00;ora;3;40;234;0;5;24.55
24/01/2026 - 20:00:00;ora;6;52;330;1;1;20.89
24/01/2026 - 19:00:00;ora;13;43;384;2;1;16.17
24/01/2026 - 18:00:00;ora;37;34;440;0;3;14.45
24/01/2026 - 17:00:00;ora;16;39;384;3;4;15.12
24/01/2026 - 16:00:00;ora;14;24;345;1;1;18.73
24/01/2026 - 15:00:00;ora;5;22;240;0;2;21.49
24/01/2026 - 14:00:00;ora;1;12;251;5;2;23
24/01/2026 - 13:00:00;ora;7;32;336;5;4;15.37
24/01/2026 - 12:00:00;ora;8;19;450;3;5;10.75
24/01/2026 - 11:00:00;ora;10;20;453;9;4;12.73
24/01/2026 - 10:00:00;ora;3;16;466;7;3;14.75
24/01/2026 - 09:00:00;ora;2;10;388;8;4;18.06
24/01/2026 - 08:00:00;ora;0;1;265;13;3;22.09
24/01/2026 - 07:00:00;ora;1;1;160;10;4;21.62
24/01/2026 - 06:00:00;ora;1;5;78;5;4;23.7
24/01/2026 - 05:00:00;ora;1;1;41;7;1;25.59
24/01/2026 - 04:00:00;ora;0;1;34;2;1;24.53
24/01/2026 - 03:00:00;ora;0;0;54;1;1;22.75
24/01/2026 - 02:00:00;ora;1;10;50;0;1;33.27
24/01/2026 - 01:00:00;ora;0;6;102;1;1;23.57
24/01/2026 - 00:00:00;ora;0;20;149;4;2;26.7
23/01/2026 - 23:00:00;ora;1;21;123;0;1;26.7
23/01/2026 - 22:00:00;ora;1;20;132;0;5;24.69
23/01/2026 - 21:00:00;ora;2;21;182;0;1;22.57
23/01/2026 - 20:00:00;ora;8;60;330;0;1;19.77
23/01/2026 - 19:00:00;ora;39;95;360;2;3;16.33
23/01/2026 - 18:00:00;ora;24;111;431;4;2;14.68
23/01/2026 - 17:00:00;ora;15;78;434;4;1;13.85
23/01/2026 - 16:00:00;ora;18;92;406;4;2;18.94
23/01/2026 - 15:00:00;ora;2;80;379;7;3;20.35
23/01/2026 - 14:00:00;ora;19;81;352;7;3;22.74
23/01/2026 - 13:00:00;ora;38;89;347;5;1;18.54
23/01/2026 - 12:00:00;ora;18;91;395;2;4;16.97
23/01/2026 - 11:00:00;ora;17;95;367;10;1;15.93
23/01/2026 - 10:00:00;ora;11;79;420;6;2;17.81
23/01/2026 - 09:00:00;ora;6;77;364;15;1;18.44
23/01/2026 - 08:00:00;ora;7;60;506;10;3;13.75
23/01/2026 - 07:00:00;ora;2;37;320;7;8;19.24
23/01/2026 - 06:00:00;ora;0;9;144;6;3;23.59
23/01/2026 - 05:00:00;ora;2;5;37;9;1;27.83
23/01/2026 - 04:00:00;ora;0;1;24;4;1;31.8
23/01/2026 - 03:00:00;ora;0;2;21;1;1;31.64
23/01/2026 - 02:00:00;ora;0;1;38;3;1;33.67
23/01/2026 - 01:00:00;ora;1;5;52;1;1;34.65
23/01/2026 - 00:00:00;ora;2;9;100;2;2;30.46
22/01/2026 - 23:00:00;ora;2;7;102;1;1;27.34
22/01/2026 - 22:00:00;ora;2;12;130;0;2;28.03
22/01/2026 - 21:00:00;ora;3;24;153;0;2;27.05
22/01/2026 - 20:00:00;ora;7;45;245;1;1;21.42
22/01/2026 - 19:00:00;ora;8;69;350;0;2;17.49
22/01/2026 - 18:00:00;ora;14;73;411;3;3;13.23
22/01/2026 - 17:00:00;ora;13;75;441;8;2;14.03
22/01/2026 - 16:00:00;ora;10;76;406;8;2;12.32
22/01/2026 - 15:00:00;ora;4;69;383;11;3;17.54
22/01/2026 - 14:00:00;ora;11;56;346;6;3;21.49
22/01/2026 - 13:00:00;ora;52;73;364;13;2;16.55
22/01/2026 - 12:00:00;ora;8;95;373;8;4;14.56
22/01/2026 - 11:00:00;ora;16;65;427;5;2;15.51
22/01/2026 - 10:00:00;ora;3;49;425;13;4;15.48
