Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;7;7;273;6;2;26.62
30/01/2026 - 23:00:00;ora;16;40;613;13;3;26.69
30/01/2026 - 22:00:00;ora;27;44;567;0;5;25.89
30/01/2026 - 21:00:00;ora;39;65;677;2;2;24.64
30/01/2026 - 20:00:00;ora;71;92;1261;2;4;17.97
30/01/2026 - 19:00:00;ora;47;74;1397;1;8;13.95
30/01/2026 - 18:00:00;ora;90;159;1345;7;7;12.92
30/01/2026 - 17:00:00;ora;110;131;1359;8;9;13.32
30/01/2026 - 16:00:00;ora;115;82;1372;28;7;11.35
30/01/2026 - 15:00:00;ora;108;164;1298;27;7;16.22
30/01/2026 - 14:00:00;ora;120;219;1320;28;11;17.93
30/01/2026 - 13:00:00;ora;289;290;1254;17;12;13.12
30/01/2026 - 12:00:00;ora;200;283;1222;26;8;11.04
30/01/2026 - 11:00:00;ora;148;227;1254;25;8;12.8
30/01/2026 - 10:00:00;ora;132;200;1263;26;6;11.4
30/01/2026 - 09:00:00;ora;106;221;1337;31;6;11.77
30/01/2026 - 08:00:00;ora;144;255;1273;30;9;11.71
30/01/2026 - 07:00:00;ora;73;147;940;27;16;16.05
30/01/2026 - 06:00:00;ora;8;41;329;27;8;26.75
30/01/2026 - 05:00:00;ora;1;13;142;13;5;29.66
30/01/2026 - 04:00:00;ora;1;7;55;7;2;34.29
30/01/2026 - 03:00:00;ora;4;5;46;5;2;33.66
30/01/2026 - 02:00:00;ora;0;8;71;14;2;34.66
30/01/2026 - 01:00:00;ora;2;17;192;8;0;31.2
30/01/2026 - 00:00:00;ora;14;30;336;14;4;29.5
29/01/2026 - 23:00:00;ora;18;29;389;6;1;28.32
29/01/2026 - 22:00:00;ora;16;34;443;1;5;27.17
29/01/2026 - 21:00:00;ora;25;46;646;1;3;25.52
29/01/2026 - 20:00:00;ora;33;58;1275;3;5;17.56
29/01/2026 - 19:00:00;ora;20;47;1407;1;7;13.5
29/01/2026 - 18:00:00;ora;40;45;1362;5;8;9.92
29/01/2026 - 17:00:00;ora;97;40;1365;13;6;10.96
29/01/2026 - 16:00:00;ora;96;51;1386;20;4;10.61
29/01/2026 - 15:00:00;ora;94;42;1332;20;8;13.78
29/01/2026 - 14:00:00;ora;125;102;1214;19;9;16.45
29/01/2026 - 13:00:00;ora;227;117;1308;12;8;11.29
29/01/2026 - 12:00:00;ora;175;107;1176;18;9;11.75
29/01/2026 - 11:00:00;ora;102;82;1240;26;8;12.67
29/01/2026 - 10:00:00;ora;94;67;1288;23;6;11.58
29/01/2026 - 09:00:00;ora;67;55;1338;60;12;11.4
29/01/2026 - 08:00:00;ora;52;51;1371;20;8;9.88
29/01/2026 - 07:00:00;ora;55;43;1072;21;18;13.8
29/01/2026 - 06:00:00;ora;5;4;322;34;15;24.29
29/01/2026 - 05:00:00;ora;0;0;148;6;8;28.86
29/01/2026 - 04:00:00;ora;1;0;43;4;1;32.2
29/01/2026 - 03:00:00;ora;0;0;27;2;1;29.83
29/01/2026 - 02:00:00;ora;0;2;55;4;7;31.72
29/01/2026 - 01:00:00;ora;4;4;120;6;7;31.84
29/01/2026 - 00:00:00;ora;9;28;250;12;3;30.82
28/01/2026 - 23:00:00;ora;7;60;412;8;1;29.68
28/01/2026 - 22:00:00;ora;10;60;292;0;5;29.82
28/01/2026 - 21:00:00;ora;30;65;447;0;5;27.43
28/01/2026 - 20:00:00;ora;73;116;1050;1;6;21.17
28/01/2026 - 19:00:00;ora;103;160;1233;3;6;18.19
28/01/2026 - 18:00:00;ora;123;137;1346;4;7;15.07
28/01/2026 - 17:00:00;ora;111;97;1368;9;7;11.14
28/01/2026 - 16:00:00;ora;93;116;1307;18;8;12.74
28/01/2026 - 15:00:00;ora;88;70;1356;19;9;15.7
28/01/2026 - 14:00:00;ora;66;61;1256;15;7;16.01
28/01/2026 - 13:00:00;ora;62;28;1235;17;11;9.88
28/01/2026 - 12:00:00;ora;29;11;1143;16;8;10.47
28/01/2026 - 11:00:00;ora;21;4;1097;31;6;15.69
28/01/2026 - 10:00:00;ora;2;1;439;5;0;14.73
28/01/2026 - 09:00:00;ora;15;7;1116;39;9;12.41
27/01/2026 - 19:00:00;ora;14;11;81;0;0;16.47
27/01/2026 - 18:00:00;ora;252;185;1217;2;8;12.72
27/01/2026 - 17:00:00;ora;311;229;1298;15;7;12.88
27/01/2026 - 16:00:00;ora;145;175;934;16;5;13.07
27/01/2026 - 15:00:00;ora;134;229;1308;25;8;16.13
27/01/2026 - 14:00:00;ora;140;288;1200;13;12;16.8
27/01/2026 - 13:00:00;ora;345;108;1188;22;11;10.89
27/01/2026 - 12:00:00;ora;315;132;1147;11;9;10.78
27/01/2026 - 11:00:00;ora;192;232;1153;24;6;12.29
27/01/2026 - 10:00:00;ora;96;313;1184;27;7;13.79
27/01/2026 - 09:00:00;ora;106;219;1282;30;11;11.41
27/01/2026 - 08:00:00;ora;132;271;1277;27;10;12.45
27/01/2026 - 07:00:00;ora;75;175;964;30;15;14.36
27/01/2026 - 06:00:00;ora;12;46;363;26;7;24.98
27/01/2026 - 05:00:00;ora;0;14;139;8;4;29.86
27/01/2026 - 04:00:00;ora;2;6;55;9;2;34.24
27/01/2026 - 03:00:00;ora;1;3;38;3;2;33.79
27/01/2026 - 02:00:00;ora;3;9;53;12;3;36.59
27/01/2026 - 01:00:00;ora;2;10;149;7;3;32.54
27/01/2026 - 00:00:00;ora;7;39;239;13;3;31.07
26/01/2026 - 23:00:00;ora;16;53;273;9;2;30.05
26/01/2026 - 22:00:00;ora;12;69;388;1;5;29.5
26/01/2026 - 21:00:00;ora;25;84;595;1;5;26.48
26/01/2026 - 20:00:00;ora;82;118;1104;2;5;20.01
26/01/2026 - 19:00:00;ora;55;129;1334;1;5;12.61
26/01/2026 - 18:00:00;ora;63;103;1282;3;4;9.82
