Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;5;0;113;0;0;15.52
30/01/2026 - 23:00:00;ora;18;1;240;2;0;14.52
30/01/2026 - 22:00:00;ora;41;4;310;1;1;12.53
30/01/2026 - 21:00:00;ora;40;5;298;1;2;11.63
30/01/2026 - 20:00:00;ora;35;6;467;0;1;6.73
30/01/2026 - 19:00:00;ora;23;8;460;0;4;4.24
30/01/2026 - 18:00:00;ora;83;9;500;2;2;4.37
30/01/2026 - 17:00:00;ora;84;20;463;7;5;4.07
30/01/2026 - 16:00:00;ora;60;48;449;2;5;4.38
30/01/2026 - 15:00:00;ora;55;40;446;13;4;7.17
30/01/2026 - 14:00:00;ora;82;53;463;16;4;8.34
30/01/2026 - 13:00:00;ora;134;100;405;3;8;5.82
30/01/2026 - 12:00:00;ora;112;59;439;9;4;5.1
30/01/2026 - 11:00:00;ora;81;71;342;8;3;4.3
30/01/2026 - 10:00:00;ora;92;54;414;5;1;5.81
30/01/2026 - 09:00:00;ora;99;60;469;13;5;5.34
30/01/2026 - 08:00:00;ora;111;55;476;11;4;6.34
30/01/2026 - 07:00:00;ora;59;40;414;8;6;9.71
30/01/2026 - 06:00:00;ora;18;4;253;24;6;13.47
30/01/2026 - 05:00:00;ora;11;5;116;7;2;15.51
30/01/2026 - 04:00:00;ora;8;0;34;8;2;15.96
30/01/2026 - 03:00:00;ora;1;0;36;2;0;17.59
30/01/2026 - 02:00:00;ora;1;1;54;1;0;18.56
30/01/2026 - 01:00:00;ora;4;0;74;0;0;18.33
30/01/2026 - 00:00:00;ora;6;1;134;2;1;16.88
29/01/2026 - 23:00:00;ora;11;4;187;2;0;16.49
29/01/2026 - 22:00:00;ora;9;0;225;1;0;14.61
29/01/2026 - 21:00:00;ora;13;5;288;0;2;12.42
29/01/2026 - 20:00:00;ora;12;8;391;1;0;7.38
29/01/2026 - 19:00:00;ora;5;3;402;0;2;3.91
29/01/2026 - 18:00:00;ora;12;11;523;0;1;3.88
29/01/2026 - 17:00:00;ora;31;11;468;3;2;4.37
29/01/2026 - 16:00:00;ora;29;26;516;1;4;4.33
29/01/2026 - 15:00:00;ora;36;19;516;6;4;4.75
29/01/2026 - 14:00:00;ora;58;25;448;9;6;6.73
29/01/2026 - 13:00:00;ora;50;57;370;6;5;7.59
29/01/2026 - 12:00:00;ora;72;51;363;7;6;5.32
29/01/2026 - 11:00:00;ora;56;21;403;19;7;4.33
29/01/2026 - 10:00:00;ora;42;30;370;6;4;3.88
29/01/2026 - 09:00:00;ora;32;50;459;6;7;3.82
29/01/2026 - 08:00:00;ora;21;24;496;3;7;4.57
29/01/2026 - 07:00:00;ora;30;16;381;14;4;8.62
29/01/2026 - 06:00:00;ora;8;2;229;9;6;11.89
29/01/2026 - 05:00:00;ora;8;1;109;6;3;13.41
29/01/2026 - 04:00:00;ora;1;0;35;5;1;14.55
29/01/2026 - 03:00:00;ora;1;0;39;0;1;15.54
29/01/2026 - 02:00:00;ora;2;0;34;2;1;14.44
29/01/2026 - 01:00:00;ora;4;0;67;1;0;16.83
29/01/2026 - 00:00:00;ora;12;0;103;3;1;15.79
28/01/2026 - 23:00:00;ora;16;1;196;1;0;16.15
28/01/2026 - 22:00:00;ora;24;4;154;1;1;15.63
28/01/2026 - 21:00:00;ora;23;5;186;0;3;13.62
28/01/2026 - 20:00:00;ora;47;6;369;0;1;7.99
28/01/2026 - 19:00:00;ora;71;4;442;0;4;5.23
28/01/2026 - 18:00:00;ora;97;7;426;0;1;4.87
28/01/2026 - 17:00:00;ora;92;19;482;0;2;4.59
28/01/2026 - 16:00:00;ora;49;45;435;0;5;6.64
28/01/2026 - 15:00:00;ora;40;36;466;6;6;7.59
28/01/2026 - 14:00:00;ora;46;21;420;9;4;7.19
28/01/2026 - 13:00:00;ora;19;11;385;6;3;6.98
28/01/2026 - 12:00:00;ora;13;5;430;5;4;4.7
28/01/2026 - 11:00:00;ora;1;1;474;8;8;5.64
28/01/2026 - 10:00:00;ora;1;0;120;0;1;3.58
28/01/2026 - 09:00:00;ora;4;5;413;9;4;4.68
28/01/2026 - 08:00:00;ora;0;0;4;0;0;2
